0,3,0.0312,0.2070,0.5160,0.2264,0.0193
1,3,0.2513,0.5728,0.1671,0.0079,0.0009
2,4,0.1002,0.3160,0.2423,0.2570,0.0845
3,2,0.3999,0.4749,0.1064,0.0148,0.0039
4,5,0.0014,0.0019,0.0047,0.1066,0.8853
5,5,0.0006,0.0005,0.0027,0.0848,0.9114
6,4,0.2896,0.3108,0.2042,0.1107,0.0847
7,3,0.3374,0.5369,0.1128,0.0106,0.0022
8,5,0.1297,0.1089,0.1156,0.2730,0.3729
9,4,0.0054,0.0239,0.1624,0.5652,0.2431
10,5,0.0043,0.0049,0.0124,0.1670,0.8114
11,5,0.0289,0.0361,0.0637,0.2305,0.6408
12,5,0.0015,0.0019,0.0071,0.1326,0.8570
13,5,0.0015,0.0023,0.0103,0.2132,0.7727
14,1,0.8194,0.1669,0.0109,0.0018,0.0010
15,5,0.0052,0.0063,0.0197,0.2577,0.7112
16,1,0.5737,0.2154,0.0770,0.0441,0.0899
17,3,0.0039,0.0420,0.3321,0.5841,0.0379
18,5,0.0015,0.0021,0.0120,0.2246,0.7598
19,5,0.0065,0.0017,0.0014,0.0052,0.9851
20,5,0.0007,0.0005,0.0026,0.0601,0.9362
21,5,0.0006,0.0006,0.0020,0.0554,0.9415
22,3,0.0178,0.2060,0.6801,0.0918,0.0043
23,1,0.3027,0.3088,0.1744,0.1250,0.0891
24,1,0.2653,0.4769,0.2332,0.0211,0.0035
25,5,0.0008,0.0007,0.0049,0.1313,0.8623
27,4,0.0015,0.0024,0.0245,0.3069,0.6646
28,5,0.0009,0.0008,0.0041,0.0964,0.8977
29,1,0.5544,0.3264,0.0983,0.0150,0.0059
30,5,0.0025,0.0018,0.0046,0.0457,0.9454
31,5,0.1596,0.3199,0.2418,0.1940,0.0847
32,4,0.0011,0.0012,0.0051,0.1836,0.8090
33,4,0.0649,0.1071,0.1500,0.3188,0.3593
34,5,0.0025,0.0048,0.0189,0.2861,0.6877
35,5,0.0021,0.0012,0.0017,0.0348,0.9603
36,5,0.0024,0.0016,0.0017,0.0120,0.9823
38,3,0.1886,0.5103,0.2714,0.0284,0.0014
39,5,0.0010,0.0009,0.0030,0.0873,0.9079
40,4,0.0006,0.0012,0.0132,0.4305,0.5545
41,5,0.0072,0.0102,0.0220,0.1530,0.8076
42,4,0.0373,0.0754,0.1664,0.3844,0.3366
43,3,0.0006,0.0027,0.1075,0.7990,0.0902
44,5,0.0507,0.0966,0.2034,0.3716,0.2776
45,5,0.0156,0.1042,0.5266,0.2886,0.0649
46,5,0.0809,0.0764,0.1060,0.2066,0.5301
47,4,0.0213,0.0259,0.0865,0.5112,0.3552
48,5,0.0018,0.0023,0.0077,0.1289,0.8593
49,1,0.3635,0.3354,0.2377,0.0493,0.0140
50,3,0.0096,0.0219,0.1190,0.4794,0.3700
51,3,0.0011,0.0048,0.1680,0.7555,0.0706
52,1,0.5175,0.3294,0.0769,0.0446,0.0316
53,5,0.0070,0.0106,0.0299,0.2218,0.7308
54,1,0.7592,0.1834,0.0425,0.0087,0.0062
55,5,0.0603,0.0889,0.1819,0.2401,0.4288
56,5,0.0006,0.0006,0.0042,0.1036,0.8911
57,5,0.0008,0.0005,0.0012,0.0248,0.9728
58,5,0.0031,0.0034,0.0220,0.3354,0.6360
59,5,0.0010,0.0008,0.0047,0.0777,0.9159
60,5,0.0062,0.0123,0.0564,0.4664,0.4587
61,5,0.0012,0.0013,0.0047,0.1140,0.8788
62,3,0.0152,0.0660,0.2957,0.4723,0.1508
63,4,0.0419,0.0600,0.1149,0.7753,0.0079
64,5,0.0012,0.0015,0.0063,0.1248,0.8662
65,5,0.0012,0.0011,0.0044,0.0816,0.9117
66,4,0.0016,0.0054,0.0358,0.5996,0.3576
67,1,0.1598,0.4215,0.3084,0.0870,0.0233
68,5,0.0070,0.0070,0.0159,0.1190,0.8511
69,1,0.5206,0.3890,0.0715,0.0119,0.0069
70,5,0.1518,0.4419,0.3185,0.0641,0.0237
71,2,0.1902,0.4702,0.2726,0.0537,0.0134
72,5,0.0007,0.0007,0.0024,0.0773,0.9189
73,5,0.0015,0.0008,0.0015,0.0179,0.9782
74,5,0.0010,0.0015,0.0220,0.3813,0.5943
75,3,0.0626,0.2721,0.3913,0.2416,0.0324
76,5,0.0009,0.0009,0.0064,0.1148,0.8770
77,1,0.9584,0.0389,0.0021,0.0003,0.0003
78,5,0.0341,0.1407,0.3238,0.3888,0.1126
79,5,0.0008,0.0006,0.0019,0.0457,0.9511
80,4,0.0013,0.0029,0.0290,0.4697,0.4970
81,4,0.1363,0.2458,0.2515,0.2420,0.1245
82,2,0.4330,0.3069,0.1875,0.0537,0.0189
83,5,0.0008,0.0007,0.0017,0.0456,0.9513
84,5,0.0006,0.0008,0.0042,0.1262,0.8681
85,5,0.0024,0.0019,0.0035,0.0720,0.9201
86,4,0.0006,0.0004,0.0009,0.0230,0.9751
87,5,0.0083,0.0073,0.0145,0.1100,0.8600
88,5,0.0158,0.0194,0.0185,0.0895,0.8568
89,5,0.0008,0.0005,0.0022,0.0588,0.9377
90,1,0.5845,0.3226,0.0702,0.0149,0.0078
91,1,0.4593,0.3958,0.1211,0.0194,0.0044
92,5,0.0278,0.0466,0.0619,0.3111,0.5526
93,5,0.1337,0.1409,0.1056,0.2200,0.3998
94,4,0.0253,0.0265,0.0550,0.4363,0.4569
95,2,0.0282,0.1975,0.5473,0.2059,0.0211
96,2,0.4269,0.3820,0.1296,0.0389,0.0226
97,2,0.6178,0.3546,0.0247,0.0020,0.0009
98,5,0.3410,0.2352,0.1706,0.1250,0.1282
99,5,0.0019,0.0031,0.0227,0.3520,0.6204
100,5,0.0006,0.0005,0.0018,0.0391,0.9579
101,5,0.0007,0.0008,0.0066,0.2327,0.7591
102,5,0.0033,0.0057,0.0298,0.5946,0.3666
103,4,0.0319,0.1464,0.3979,0.3736,0.0502
104,3,0.0008,0.0017,0.0486,0.5636,0.3852
105,4,0.0077,0.0453,0.3911,0.5036,0.0523
106,5,0.0006,0.0006,0.0037,0.1023,0.8927
107,5,0.0005,0.0004,0.0015,0.0369,0.9607
108,1,0.3658,0.4136,0.1207,0.0594,0.0405
109,5,0.0008,0.0007,0.0022,0.0464,0.9499
110,4,0.0015,0.0036,0.0322,0.3645,0.5982
111,5,0.0015,0.0026,0.0290,0.4340,0.5330
112,4,0.0061,0.0195,0.0834,0.5331,0.3580
113,5,0.0011,0.0007,0.0016,0.0367,0.9600
115,5,0.0006,0.0005,0.0031,0.1083,0.8875
116,5,0.1832,0.2028,0.2058,0.2145,0.1937
117,5,0.0014,0.0013,0.0054,0.0971,0.8948
118,5,0.0020,0.0016,0.0041,0.0734,0.9189
119,5,0.0169,0.0060,0.0053,0.0310,0.9409
120,3,0.0040,0.0679,0.8365,0.0883,0.0032
121,5,0.0007,0.0005,0.0028,0.0819,0.9140
122,4,0.0360,0.2315,0.3995,0.2783,0.0546
123,5,0.0327,0.0260,0.0319,0.1577,0.7517
124,4,0.0008,0.0041,0.0537,0.6707,0.2707
126,3,0.0013,0.0104,0.9827,0.0048,0.0008
127,4,0.0106,0.1603,0.5738,0.2469,0.0085
128,2,0.6539,0.2828,0.0519,0.0073,0.0041
129,5,0.0115,0.0512,0.1522,0.5701,0.2150
130,5,0.0047,0.0084,0.0281,0.2885,0.6704
131,4,0.0012,0.0045,0.0887,0.6097,0.2959
132,5,0.0046,0.0114,0.0585,0.4204,0.5051
133,5,0.0009,0.0006,0.0026,0.0697,0.9262
134,5,0.0007,0.0007,0.0028,0.0731,0.9226
135,5,0.0004,0.0021,0.0759,0.8742,0.0473
136,5,0.0008,0.0007,0.0020,0.0449,0.9517
137,3,0.0375,0.1263,0.3739,0.3119,0.1505
138,5,0.0005,0.0006,0.0021,0.0821,0.9146
139,4,0.0012,0.0014,0.0078,0.1740,0.8156
140,5,0.0005,0.0006,0.0088,0.2879,0.7022
141,5,0.0732,0.1366,0.2540,0.3406,0.1956
142,5,0.0557,0.1858,0.2964,0.3371,0.1250
143,4,0.0025,0.0062,0.0412,0.4815,0.4686
144,2,0.2577,0.3526,0.1833,0.1347,0.0717
145,5,0.0007,0.0005,0.0010,0.0176,0.9802
146,3,0.0052,0.0585,0.5507,0.3635,0.0221
147,4,0.0458,0.0990,0.1428,0.3817,0.3307
148,5,0.0010,0.0017,0.0134,0.2788,0.7050
149,5,0.0008,0.0009,0.0040,0.0979,0.8964
150,5,0.0172,0.0194,0.0329,0.1883,0.7422
151,5,0.0933,0.3118,0.3684,0.1770,0.0495
152,5,0.0015,0.0020,0.0063,0.1345,0.8557
154,5,0.0047,0.0090,0.0263,0.2686,0.6913
155,5,0.0070,0.0080,0.0279,0.1811,0.7760
